source_url,facility_name,phone,category,health_topics,scraped_at
http://www.acphd.org,Health Department - www.acphd.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.alpinecountyca.gov/552/Health-Human-Services,Health Department - Health-Human-Services,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.amadorgov.org/departments/health-human-services,Health Department - health-human-services,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.cityofberkeley.info/publichealth/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.buttecounty.net/610/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://publichealth.calaverasgov.us/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.countyofcolusa.org/99/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.cchealth.org,Health Department - www.cchealth.org,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.co.del-norte.ca.us/departments/publichealth,Health Department - publichealth,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.eldoradocounty.ca.gov/Health-Well-Being/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.co.fresno.ca.us/departments/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.countyofglenn.net/dept/health-human-services/public-health/welcome,Health Department - welcome,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.humboldtgov.org/330/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.icphd.org/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.inyocounty.us/public-health-and-prevention,Health Department - public-health-and-prevention,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://kernpublichealth.com/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.kcdph.com/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.lakecountyca.gov/158/Public-Health,Health Department - Public-Health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.lassencounty.org/dept/public-health/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://www.longbeach.gov/health/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
http://publichealth.lacounty.gov/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.maderacounty.com/government/public-health,Health Department - public-health,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.marinhhs.org/,Health Department - ,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
https://www.mariposacounty.org/89/Health-Services-Division,Health Department - Health-Services-Division,(555) 123-4567,CONTACT_INFO,"['vaccination', 'covid']",2025-12-08T16:42:20.005194
